Year,Month,Max (�C),Min (�C),Ave
1861,4,10.9,4.9,7.9
1861,5,20.9,8.4,14.65
1861,6,14.4,9.2,11.8
1861,7,18.3,10.5,14.4
1861,8,19.1,9.6,14.35
1861,9,14.0,7.2,10.6
1861,10,16.9,3.2,10.05
1861,11,3.5,-4.4,-0.45
1861,12,7.3,4.8,6.05
1862,1,11.6,9.4,10.5
1862,2,10.2,4.9,7.55
1862,3,6.6,-4.2,1.2
1862,4,12.2,5.9,9.05
1862,5,17.7,5.9,11.8
1862,6,18.0,7.9,12.95
1862,7,19.7,12.7,16.2
1862,8,21.2,5.8,13.5
1862,9,17.1,3.2,10.15
1862,10,15.4,3.5,9.45
1862,11,4.4,-1.0,1.7
1862,12,6.3,0.8,3.55
1863,1,5.6,1.1,3.35
1863,2,12.4,7.2,9.8
1863,3,9.6,0.3,4.95
1863,4,15.6,8.4,12
1863,5,20.3,2.9,11.6
1863,6,20.1,9.3,14.7
1863,7,20.5,8.4,14.45
1863,8,20.6,14.3,17.45
1863,9,14.3,6.7,10.5
1863,10,16.4,7.9,12.15
1863,11,10.3,1.1,5.7
1863,12,12.2,6.8,9.5
1864,1,7.1,-0.9,3.1
1864,2,9.9,0.0,4.95
1864,3,11.3,5.5,8.4
1864,4,20.6,0.3,10.45
1864,5,16.5,7.4,11.95
1864,6,18.0,5.0,11.5
1864,7,22.1,6.7,14.4
1864,8,20.7,8.6,14.65
1864,9,20.8,8.1,14.45
1864,10,11.5,7.7,9.6
1864,11,12.8,5.0,8.9
1864,12,5.3,2.5,3.9
1865,1,4.9,-3.8,0.55
1865,2,10.9,3.9,7.4
1865,3,5.4,-2.9,1.25
1865,4,16.9,5.0,10.95
1865,5,13.9,5.6,9.75
1865,6,23.7,8.4,16.05
1865,7,18.1,6.0,12.05
1865,8,21.4,5.9,13.65
1865,9,24.1,11.8,17.95
1865,10,16.1,8.8,12.45
1865,11,12.6,3.9,8.25
1865,12,9.4,6.9,8.15
1866,1,7.0,-0.7,3.15
1866,2,5.4,-3.9,0.75
1866,3,2.2,-8.1,-2.95
1866,4,10.6,5.3,7.95
1866,5,14.3,6.7,10.5
1866,6,18.7,10.2,14.45
1866,7,24.1,8.4,16.25
1866,8,16.9,7.5,12.2
1866,9,15.2,8.9,12.05
1866,10,16.8,4.1,10.45
1866,11,9.5,1.9,5.7
1866,12,11.9,6.4,9.15
1867,1,2.3,-11.9,-4.8
1867,2,9.7,4.7,7.2
1867,3,3.7,0.2,1.95
1867,4,12.9,5.3,9.1
1867,5,18.6,8.9,13.75
1867,6,19.2,9.8,14.5
1867,7,24.2,10.1,17.15
1867,8,23.8,9.9,16.85
1867,9,19.1,8.6,13.85
1867,10,14.8,5.4,10.1
1867,11,8.0,4.1,6.05
1867,12,3.1,-3.7,-0.3
1868,1,8.6,2.9,5.75
1868,2,10.2,4.8,7.5
1868,3,8.8,0.1,4.45
1868,4,17.4,4.1,10.75
1868,5,16.3,0.4,8.35
1868,6,20.2,7.9,14.05
1868,7,17.7,7.4,12.55
1868,8,28.8,12.7,20.75
1868,9,28.7,13.5,21.1
1868,10,13.6,3.8,8.7
1868,11,10.3,1.6,5.95
1868,12,6.3,1.3,3.8
1869,1,9.2,1.7,5.45
1869,2,11.7,6.4,9.05
1869,3,6.8,-3.0,1.9
1869,4,20.8,6.2,13.5
1869,5,8.3,4.7,6.5
1869,6,24.5,9.4,16.95
1869,7,25.5,8.7,17.1
1869,8,15.3,8.9,12.1
1869,9,15.9,11.7,13.8
1869,10,9.2,-0.2,4.5
1869,11,12.8,7.5,10.15
1869,12,6.4,4.2,5.3
1870,1,6.9,-2.2,2.35
1870,2,5.4,1.1,3.25
