,year,month,ind,rain,gdf,rd,wd
291,1965,4,0,41.7,10.2,21,12
292,1965,5,0,54.0,10.8,17,15
293,1965,6,0,79.1,17.6,21,15
294,1965,7,0,81.3,18.1,19,11
295,1965,8,0,53.5,15.7,19,11
296,1965,9,0,79.4,25.3,18,12
297,1965,10,0,35.5,11.5,11,9
298,1965,11,0,192.6,52.2,21,17
299,1965,12,0,73.8,13,25,19
300,1966,1,0,95.4,27.8,18,12
301,1966,2,0,102.5,17,24,19
302,1966,3,0,36.6,10.2,18,9
303,1966,4,0,134.0,19,18,14
304,1966,5,1,37.1,5.8,20,10
305,1966,6,0,123.8,44.9,24,16
306,1966,7,0,40.5,7.5,19,12
307,1966,8,0,52.2,15.6,17,10
308,1966,9,0,60.3,16.5,11,8
309,1966,10,0,127.9,26.7,19,12
310,1966,11,0,42.4,7.2,19,15
311,1966,12,0,91.7,22.5,19,14
312,1967,1,0,34.3,6.5,15,9
313,1967,2,0,88.6,32.4,15,11
314,1967,3,0,30.1,11.4,18,8
315,1967,4,0,31.2,13,13,9
316,1967,5,0,122.3,15.4,28,25
317,1967,6,0,11.8,3.3,8,4
318,1967,7,0,57.4,15.7,21,12
319,1967,8,0,90.3,21.4,17,16
320,1967,9,0,87.9,20,20,17
321,1967,10,0,97.0,27.5,25,19
322,1967,11,0,43.0,19.7,12,8
323,1967,12,0,48.2,9.5,19,14
324,1968,1,0,74.5,27.8,21,13
325,1968,2,0,20.3,10,10,3
326,1968,3,0,41.8,12.5,12,9
327,1968,4,0,50.7,15.3,11,8
328,1968,5,0,41.7,7.9,17,12
329,1968,6,0,49.5,12,14,11
330,1968,7,0,14.0,5.4,6,4
331,1968,8,0,76.4,20.3,11,10
332,1968,9,0,102.2,19.1,23,17
333,1968,10,0,53.6,9.9,18,13
334,1968,11,0,72.3,28,17,12
335,1968,12,0,110.2,40.7,17,13
336,1969,1,0,98.4,13.8,21,13
337,1969,2,0,53.5,12,18,12
338,1969,3,0,57.0,17.6,11,7
339,1969,4,0,60.6,14.5,14,12
340,1969,5,0,110.6,18,24,19
341,1969,6,0,64.4,24.2,12,10
342,1969,7,0,35.7,23.8,9,5
343,1969,8,0,38.8,11.1,9,9
344,1969,9,0,45.7,27.9,11,7
345,1969,10,0,11.8,3.8,11,4
346,1969,11,0,80.7,20.5,17,11
347,1969,12,0,53.2,11.1,16,9
348,1970,1,0,57.6,8.7,25,16
349,1970,2,1,59.4,9.2,20,15
350,1970,3,0,36.3,7.4,19,9
351,1970,4,0,87.6,15.7,20,15
352,1970,5,0,12.9,8.1,7,2
353,1970,6,0,27.5,10.2,12,10
354,1970,7,0,60.2,11.1,17,11
355,1970,8,0,59.4,23.1,12,8
356,1970,9,0,49.8,10.5,21,12
357,1970,10,0,50.0,15.3,16,8
358,1970,11,0,123.7,28.3,22,15
359,1970,12,0,52.4,13,19,11
360,1971,1,0,36.9,18,17,7
361,1971,2,0,34.8,5,15,9
362,1971,3,0,72.9,38,14,7
363,1971,4,1,48.7,14.7,11,6
364,1971,5,0,29.4,11.2,13,8
365,1971,6,1,71.4,23.3,19,11
366,1971,7,0,74.3,18.2,10,8
367,1971,8,0,57.3,9.3,16,11
368,1971,9,0,25.5,9.7,6,5
369,1971,10,0,35.0,12.4,11,8
370,1971,11,0,40.6,11.9,18,7
371,1971,12,0,39.2,10.8,13,7
372,1972,1,0,94.7,13.8,24,17
373,1972,2,0,54.7,15.8,16,12
374,1972,3,0,54.1,10.6,15,11
375,1972,4,0,28.4,4.8,12,9
376,1972,5,0,60.0,17.2,22,16
377,1972,6,0,58.3,17.2,23,15
378,1972,7,0,43.2,12.1,14,9
379,1972,8,1,25.5,11.8,12,5
380,1972,9,0,6.4,2.9,6,2
381,1972,10,0,40.3,14.9,10,6
382,1972,11,1,78.2,28,16,11
383,1972,12,1,78.1,21.5,18,15
384,1973,1,1,52.9,14.6,17,9
385,1973,2,0,40.0,7.9,17,8
386,1973,3,0,14.1,4.6,7,6
387,1973,4,0,44.0,15,17,11
388,1973,5,0,83.0,12.8,22,16
389,1973,6,0,13.6,8.2,7,4
390,1973,7,0,68.1,29.3,17,10
391,1973,8,0,104.3,17.6,19,14
392,1973,9,0,74.4,23.3,14,10
393,1973,10,1,52.2,11.5,17,12
394,1973,11,0,61.5,11.6,14,10
395,1973,12,0,74.4,20.4,18,13
396,1974,1,0,88.7,13.2,22,18
397,1974,2,0,46.9,7.1,19,12
398,1974,3,0,20.4,5,9,6
399,1974,4,1,47.3,22.7,6,4
400,1974,5,0,62.5,14.3,16,13
401,1974,6,0,34.1,7.2,11,8
402,1974,7,0,101.1,15.4,19,14
403,1974,8,0,35.8,9,19,13
404,1974,9,0,120.8,36,23,15
405,1974,10,0,25.3,4.1,18,8
406,1974,11,1,48.2,13.2,16,9
407,1974,12,0,32.1,5.2,19,11
408,1975,1,1,80.2,16.1,21,14
409,1975,2,0,20.5,7.3,10,7
410,1975,3,0,37.3,6.7,19,14
411,1975,4,0,52.7,9.8,17,13
412,1975,5,0,37.9,16.8,8,6
413,1975,6,0,13.5,5,7,5
414,1975,7,0,30.2,9.7,15,6
415,1975,8,0,25.6,12,11,6
416,1975,9,0,103.8,36.4,20,15
417,1975,10,0,31.1,18.7,13,6
418,1975,11,0,57.5,24.7,15,11
419,1975,12,0,26.1,11.2,12,7
420,1976,1,0,59.5,17,17,11
421,1976,2,0,29.6,6.1,10,8
422,1976,3,0,52.8,16.3,16,11
423,1976,4,0,15.1,5.8,7,4
424,1976,5,0,59.0,8,21,18
425,1976,6,0,20.7,8.1,10,6
426,1976,7,0,59.8,17.2,13,8
427,1976,8,0,3.5,2,4,1
428,1976,9,0,155.8,27.4,16,12
429,1976,10,0,146.6,19.7,26,22
430,1976,11,0,40.4,9.3,11,8
431,1976,12,0,45.7,7.5,18,11
432,1977,1,0,58.3,18.9,19,12
433,1977,2,0,118.5,14.8,24,19
434,1977,3,0,50.4,11.9,22,14
435,1977,4,0,49.4,8.7,24,20
436,1977,5,0,15.5,9,6,3
437,1977,6,0,55.5,16.2,16,12
438,1977,7,0,28.1,7.2,10,6
439,1977,8,0,56.2,15.3,13,10
440,1977,9,0,47.0,16.2,18,10
441,1977,10,0,88.2,30,17,10
442,1977,11,0,50.9,8.5,20,13
443,1977,12,0,71.1,12.2,20,14
444,1978,1,0,53.7,11.3,19,13
445,1978,2,0,63.2,16.7,18,11
446,1978,3,0,44.1,6.2,23,13
447,1978,4,0,26.1,8.4,12,6
448,1978,5,0,19.4,6,11,4
449,1978,6,1,33.8,8.3,12,9
450,1978,7,0,43.6,10.9,14,10
451,1978,8,0,131.8,67,13,11
452,1978,9,0,43.6,11,14,10
453,1978,10,0,30.2,9,10,7
454,1978,11,0,64.6,16.1,14,12
455,1978,12,0,218.8,28.2,25,22
456,1979,1,0,66.4,22.5,20,13
457,1979,2,0,63.2,11.4,14,9
458,1979,3,0,77.9,25,22,13
459,1979,4,0,58.7,10.7,22,16
460,1979,5,0,88.3,11.1,24,22
461,1979,6,0,42.4,20.1,12,7
462,1979,7,0,21.9,7.9,9,4
463,1979,8,0,81.8,16.1,20,17
464,1979,9,0,30.1,8.1,11,6
465,1979,10,0,102.5,26.9,24,17
466,1979,11,0,44.7,12.8,16,10
467,1979,12,0,100.0,22.7,20,13
468,1980,1,0,116.4,26.7,18,13
469,1980,2,0,55.0,11,18,14
470,1980,3,0,77.2,24.7,22,14
471,1980,4,0,10.1,6.9,6,2
472,1980,5,0,35.1,8.3,12,7
473,1980,6,0,70.8,11,21,18
474,1980,7,0,35.9,8.1,15,10
475,1980,8,0,100.6,30,21,15
476,1980,9,0,80.6,25.9,20,16
477,1980,10,0,115.2,16,24,17
478,1980,11,0,45.6,9.4,15,12
479,1980,12,0,35.6,7,19,8
480,1981,1,0,37.4,5.5,16,9
481,1981,2,0,55.0,13.3,12,8
482,1981,3,0,81.9,11.7,26,18
483,1981,4,0,48.2,15.2,10,6
484,1981,5,0,106.8,20,25,21
485,1981,6,0,73.4,27,14,12
486,1981,7,0,37.1,6.5,17,11
487,1981,8,0,11.7,6.8,7,3
488,1981,9,0,99.2,28.8,21,13
489,1981,10,0,92.0,25.5,21,17
490,1981,11,0,49.3,18.1,16,10
491,1981,12,1,132.6,28.7,19,13
492,1982,1,1,45.2,10,15,12
493,1982,2,0,27.1,4,19,9
494,1982,3,0,54.3,7.2,20,17
495,1982,4,0,12.5,4.7,5,4
496,1982,5,0,42.7,6,17,12
497,1982,6,0,96.6,22.2,15,12
498,1982,7,0,6.2,2.2,7,2
499,1982,8,0,67.5,16,22,18
500,1982,9,0,89.5,17.2,16,14
501,1982,10,0,94.2,19,19,14
502,1982,11,1,123.5,38,23,13
503,1982,12,0,78.7,14.5,22,16
504,1983,1,0,62.1,15,21,17
505,1983,2,0,49.1,18.2,18,10
506,1983,3,0,61.2,9.1,22,17
507,1983,4,0,76.3,17.8,17,15
508,1983,5,0,88.1,23.3,19,15
509,1983,6,0,42.3,14,10,9
510,1983,7,0,9.7,2.9,9,4
511,1983,8,0,47.1,11.2,13,8
512,1983,9,0,79.5,19.4,18,14
513,1983,10,0,48.0,13.9,16,11
514,1983,11,0,20.5,7.5,8,3
515,1983,12,0,120.6,34,18,17
516,1984,1,0,89.9,15.5,22,18
517,1984,2,0,51.1,15.5,15,13
518,1984,3,0,58.4,22.6,18,11
519,1984,4,0,16.9,6.6,8,5
520,1984,5,0,30.5,7,11,9
521,1984,6,0,40.1,14.6,12,5
522,1984,7,0,20.1,6.3,8,7
523,1984,8,0,76.6,31.9,13,10
524,1984,9,0,70.8,17.6,21,15
525,1984,10,0,57.9,11.5,20,10
526,1984,11,0,86.4,15.6,19,15
527,1984,12,0,91.5,29,22,13
528,1985,1,0,61.2,27.1,20,13
529,1985,2,0,49.1,20.5,9,6
530,1985,3,0,69.8,31,19,10
531,1985,4,0,40.3,9,14,12
532,1985,5,0,83.7,25,16,12
533,1985,6,0,76.7,11.2,21,15
534,1985,7,0,101.2,29.2,19,11
535,1985,8,1,128.0,30.1,28,21
536,1985,9,0,30.2,6.1,14,8
537,1985,10,0,19.4,8,11,6
538,1985,11,0,32.8,7,20,10
539,1985,12,1,75.9,13.6,22,13
540,1986,1,0,105.6,16.8,25,20
541,1986,2,0,9.4,3.2,6,4
542,1986,3,0,56.4,13.3,24,14
543,1986,4,0,46.8,9.7,17,15
544,1986,5,0,65.8,12.5,23,17
545,1986,6,0,82.3,17.3,16,7
546,1986,7,0,65.2,13.4,22,14
547,1986,8,0,153.4,73.5,17,14
548,1986,9,0,3.1,2.2,3,1
549,1986,10,0,53.2,22.3,15,11
550,1986,11,0,92.0,20,20,15
551,1986,12,0,74.6,12.5,22,12
552,1987,1,0,32.7, ,13,6
553,1987,2,0,33.7,8,11,8
554,1987,3,0,52.5,10.3,23,11
555,1987,4,0,69.1,28.6,14,11
556,1987,5,0,28.7,5,14,10
557,1987,6,0,90.3,18.7,25,16
558,1987,7,0,32.0,8.5,15,6
559,1987,8,0,72.0,16.1,16,11
560,1987,9,0,59.3,17.5,16,9
561,1987,10,0,131.9,40.2,23,16
562,1987,11,0,45.0,12.2,15,9
563,1987,12,0,40.7,9.5,15,10
564,1988,1,0,107.7,18.8,27,18
565,1988,2,0,34.4,6.6,18,10
566,1988,3,0,85.1,13.5,23,15
567,1988,4,0,27.5,5.5,9,8
568,1988,5,0,75.3,16.5,17,14
569,1988,6,0,34.0,17.4,10,6
570,1988,7,0,84.0,26,25,14
571,1988,8,0,52.8,18.2,18,11
572,1988,9,0,37.5,11.1,17,13
573,1988,10,0,68.6,13,20,14
574,1988,11,0,20.8,6,9,7
575,1988,12,0,39.0,8.4,15,8
576,1989,1,0,29.5,7.7,13,8
577,1989,2,0,47.7,9.1,17,11
578,1989,3,0,49.0,9.5,21,12
579,1989,4,0,73.6,16.5,21,15
580,1989,5,0,22.5,9.8,7,6
581,1989,6,0,52.7,23.5,13,11
582,1989,7,0,10.4,2.8,7,5
583,1989,8,0,87.2,13.2,21,14
584,1989,9,0,31.3,13.3,13,5
585,1989,10,0,65.2,17.5,19,13
586,1989,11,0,30.8,12.4,16,10
587,1989,12,0,60.9,13.1,15,11
588,1990,1,0,76.4,12.6,24,16
589,1990,2,0,116.8,13.5,25,20
590,1990,3,0,13.3,3.3,10,6
591,1990,4,0,24.8,4.5,14,9
592,1990,5,0,48.2,12.4,10,9
593,1990,6,0,45.8,7.5,21,15
594,1990,7,0,33.3,11.5,10,5
595,1990,8,0,58.8,16.9,16,8
596,1990,9,0,16.2,5.5,11,4
597,1990,10,0,137.1,24.5,19,16
598,1990,11,0,62.5,22.4,17,11
599,1990,12,0,80.0,11,20,14
600,1991,1,0,73.6,17.6,16,12
601,1991,2,0,50.8,10.2,20,13
602,1991,3,0,71.9, , , 
603,1991,4,0,87.6,23.5,17,9
604,1991,5,0,4.7,1.9,3,3
605,1991,6,0,58.9,11.4,22,18
606,1991,7,0,28.5,8.6,17,7
607,1991,8,0,37.1,14,13,6
608,1991,9,0,49.9,17,11,7
609,1991,10,0,74.5,22.3,23,15
610,1991,11,0,55.7,9.2,21,13
611,1991,12,0,37.4,10.4,11,9
612,1992,1,0,33.3,19.8,10,5
613,1992,2,0,30.6,7.8,17,9
614,1992,3,0,67.8,16.9,24,15
615,1992,4,0,67.2,9.6,23,18
616,1992,5,0,34.5,10.4,11,8
617,1992,6,0,30.1,8,9,6
618,1992,7,0,65.6,25.3,19,13
619,1992,8,0,77.4,13.2,23,13
620,1992,9,0,70.9,15.2,16,14
621,1992,10,0,32.4,15.2,13,8
622,1992,11,0,64.9,17.2,24,15
623,1992,12,0,40.9,7,16,9
624,1993,1,0,62.6,7.8,25,19
625,1993,2,0,20.5,7.4,10,4
626,1993,3,0,22.1,4.5,15,6
627,1993,4,0,43.9,7.7,18,13
628,1993,5,0,161.4,44,21,17
629,1993,6,0,143.1, ,14,9
630,1993,7,0,58.2,10.8,20,13
631,1993,8,0,33.8,8.1,15,9
632,1993,9,0,101.5,18.4,17,13
633,1993,10,0,83.6,26.1,12,9
634,1993,11,0,37.8,13.9,16,10
635,1993,12,1,111.1,14.3,28,20
636,1994,1,0,71.9,8,26,18
637,1994,2,0,100.9,15.5,19,14
638,1994,3,0,71.4,12.3,25,17
639,1994,4,1,63.7, ,18,14
640,1994,5,0,64.3,18.4,17,10
641,1994,6,0,16.0,4.3,11,6
642,1994,7,0,63.1,12.5,17,12
643,1994,8,0,55.2,11.3,15,9
644,1994,9,0,93.3,22.5,22,15
645,1994,10,1,44.5,9.2,12,9
646,1994,11,0,59.9,12.4,18,12
647,1994,12,0,88.0,18.5,23,16
648,1995,1,0,113.0,30.2,22,17
649,1995,2,0,88.7,12.7,23,18
650,1995,3,0,45.7,18.7,18,12
651,1995,4,0,29.1,17,8,5
652,1995,5,0,38.7,10.3,15,9
653,1995,6,0,9.0,4.6,6,3
654,1995,7,0,50.8,16.6,14,7
655,1995,8,0,4.6,1.9,3,3
656,1995,9,0,42.6,11.8,15,7
657,1995,10,0,36.7,8.2,17,9
658,1995,11,0,147.6,33,20,15
659,1995,12,0,73.6,13.6,21,14
660,1996,1,0,92.5,19,25,17
661,1996,2,0,57.9,14.9,17,12
662,1996,3,0,71.2,14,18,13
663,1996,4,0,63.3,11.5,17,12
664,1996,5,0,78.5,20,18,16
665,1996,6,0,16.4,6.4,10,3
666,1996,7,0,41.7,13.4,15,11
667,1996,8,0,74.8,30.8,15,14
668,1996,9,0,18.4,9.4,7,4
669,1996,10,0,98.4,22.3,21,16
670,1996,11,0,105.6,34.1,21,13
671,1996,12,0,49.1,17.5,14,8
672,1997,1,0,15.9,6,10,4
673,1997,2,0,61.0,12.3,24,17
