Depth ice/snow [m],"Gas age [ka BP] (AICC2012, BP = 1950)","CH4 mix ratio [nmol/mol] (measured, Determined accordin...)",CH4 mix ratio std dev [�] (Methane mixing ratio error (1...),"_13C CH4 [� PDB] (measured, with respect to Vie...)",_13C CH4 std dev [�] (d13CH4 error (1-sigma standar...),Grav sett [�] (see supporting information of...),_13C CH4 [� PDB] (corrected for gravitational s...),Diff frac [�] (see supporting information of...),_13C CH4 [� PDB] (corrected for gravitational s...)
1341.88,88.444,520,5,-46.97,0.15,0.37,-47.34,0.03,-47.37
1342,88.522,524,5,-47.1,0.15,0.37,-47.47,0.02,-47.5
1344,89.823,495,5,-48.31,0.15,0.38,-48.69,-0.01,-48.68
1356.4,96.204,494,5,-49.4,0.15,0.4,-49.8,0.04,-49.84
1372.4,104.42,600,5,-48.06,0.15,0.38,-48.44,0,-48.44
1379.4,110.048,517,5,-50.09,0.15,0.35,-50.44,-0.01,-50.44
1385.6,115.283,501,5,-51.76,0.15,0.31,-52.07,0,-52.07
1385.72,115.373,490,5,-51.91,0.15,0.31,-52.22,0,-52.22
1389.4,117.756,553,5,-52.09,0.15,0.29,-52.38,0,-52.38
1395.4,121.271,613,5,-50.48,0.15,0.32,-50.8,0,-50.8
1396.6,121.97,613,5,-50.23,0.15,0.32,-50.55,0,-50.55
1403.49,125.677,649,5,-49.56,0.15,0.35,-49.91,0,-49.91
1403.66,125.766,651,5,-49.24,0.15,0.35,-49.59,0,-49.59
1405.7,126.753,668,5,-49.58,0.15,0.37,-49.95,0,-49.95
1411.73,129.013,546,5,-48.46,0.15,0.37,-48.83,-0.03,-48.8
1411.86,129.057,562,5,-48.63,0.15,0.37,-49,-0.01,-48.99
1413.7,129.713,546,5,-48.44,0.15,0.37,-48.81,-0.03,-48.78
1419.4,132.432,469,5,-46.5,0.15,0.38,-46.88,0,-46.88
1421.6,134.093,452,5,-45.74,0.15,0.37,-46.11,-0.05,-46.06
1427.4,140.622,352,5,-45.22,0.15,0.34,-45.56,-0.04,-45.52
1429.6,143.217,435,5,-45.34,0.15,0.34,-45.68,0,-45.68
1435.49,149.942,437,5,-45.17,0.15,0.34,-45.51,-0.02,-45.49
1435.61,150.072,459,5,-44.78,0.15,0.34,-45.12,-0.01,-45.11
1437.65,152.248,471,5,-44.55,0.15,0.34,-44.89,0.03,-44.92
